Data;ipca;m1;pib;selic;ipca-mas;ipca-ma;ipca-ex;ipca-ex2;ipca-dp;desemprego;igp-m;ipc-br-core
01/1995;1,7;19497961;47028,6;3,37;-;-;-;2,31;1,66;12,1;0,92;
02/1995;1,02;18904637;49954,5;3,25;-;-;-;1,52;1,36;12,9;1,39;
03/1995;1,55;18063764;60024,3;4,26;-;-;-;1,75;1,51;13,2;1,12;
04/1995;2,43;17604172;57789,5;4,26;-;-;-;2,8;2,45;13,5;2,1;
05/1995;2,67;17105339;56350,5;4,25;-;-;-;3,52;2,44;13,4;0,58;
06/1995;2,26;17689904;56726,2;4,04;-;-;-;3,12;2,7;13,2;2,46;
07/1995;2,36;18583165;58788,1;4,02;-;-;-;2,79;2,62;13,1;1,82;
08/1995;0,99;18445696;60950,3;3,84;-;-;-;1,23;1,1;12,9;2,2;
09/1995;0,99;19154300;60610,8;3,32;-;-;-;1,33;1,03;13,3;-0,71;
10/1995;1,41;20448285;63428,1;3,09;-;-;-;1,43;1,31;13,4;0,52;
11/1995;1,47;21250450;67762,9;2,88;-;-;-;1,54;1,13;13,7;1,2;
12/1995;1,56;26584750;66577,7;2,78;-;-;-;1,76;1,17;13,2;0,71;
01/1996;1,34;25244772;64133,3;2,58;1,51;-;1,4;1,35;1,21;13,1;1,73;1,5
02/1996;1,03;24106421;62202,2;2,35;1,04;-;0,75;1,37;0,87;13,8;0,97;1,42
03/1996;0,35;23443000;62987,8;2,22;1,07;-;0,51;0,49;0,45;15;0,4;0,59
04/1996;1,26;23844600;64019,1;2,07;1,25;-;0,9;0,8;1,16;15,9;0,32;1,31
05/1996;1,22;23433227;69488,7;2,01;1,28;-;1,47;1,33;0,96;16,1;1,55;1,21
06/1996;1,19;23924474;71103;1,98;1,25;-;0,92;1,31;1,18;16,2;1,02;0,78
07/1996;1,11;24305672;74969,9;1,93;1,16;-;0,93;1,25;1,11;15,7;1,35;0,76
08/1996;0,44;23520576;74798,8;1,97;0,91;-;0,63;0,61;0,54;15,5;0,28;0,53
09/1996;0,15;24269489;71744,6;1,9;0,59;-;0,43;0,28;0,13;14,8;0,1;0,28
10/1996;0,3;25039401;77200,1;1,86;0,6;-;0,3;0,23;0,15;14,8;0,19;0,55
11/1996;0,32;24333068;80449,1;1,8;0,6;-;0,5;0,45;0,31;14,5;0,2;0,58
12/1996;0,47;28992562;81667,1;1,8;0,62;-;0,59;0,5;0,47;14,2;0,73;0,57
01/1997;1,18;30153076;77582,6;1,73;0,81;-;0,85;0,76;1,01;13,9;1,77;0,7
02/1997;0,5;36141606;71072,8;1,67;0,57;-;0,44;0,45;0,35;14,2;0,43;0,58
03/1997;0,51;36905254;70461,6;1,64;0,56;-;0,2;0,31;0,31;15;1,15;0,57
04/1997;0,88;36422876;73576,4;1,66;0,64;-;0,36;1,03;0,45;15,9;0,68;0,63
05/1997;0,41;36579202;78110,8;1,58;0,49;-;0,6;0,78;0,26;16;0,21;0,41
06/1997;0,54;36776431;81202,4;1,61;0,46;-;0,19;0,72;0,39;16;0,74;0,32
07/1997;0,22;37000275;82058,7;1,6;0,46;-;0,26;0,44;0,33;15,7;0,09;0,45
08/1997;-0,02;37885489;82132,5;1,59;0,26;-;0,02;0,08;-0,01;15,9;0,09;0,29
09/1997;0,06;38786181;81987,3;1,59;0,19;-;0,09;0,1;0,01;16,3;0,48;0,33
10/1997;0,23;39758708;87297,2;1,67;0,33;-;0,25;0,2;0,14;16,5;0,37;0,33
11/1997;0,17;39214679;85390,1;3,04;0,16;-;-0,08;-0,04;0,06;16,6;0,64;0,45
12/1997;0,43;45611716;81216,8;2,97;0,33;-;0,13;0,18;0,24;16,6;0,84;0,39
01/1998;0,71;44540978;79363,9;2,67;0,4;-;0,39;0,49;0,49;16,6;0,96;0,45
02/1998;0,46;42600240;75828,1;2,13;0,4;-;0,34;0,44;0,4;17,2;0,18;0,21
03/1998;0,34;41458164;80508,7;2,2;0,41;-;0,2;0,13;0,34;18,1;0,19;0,27
04/1998;0,24;41628935;81166,1;1,71;0,18;-;0,01;0,04;0,11;18,9;0,13;0,37
05/1998;0,5;41611346;85207,5;1,63;0,23;-;0,17;0,22;0,27;18,9;0,14;0,24
06/1998;0,02;42411964;85562,4;1,6;0,14;-;0;0;0,03;19;0,38;0,19
07/1998;-0,12;43061779;86938,5;1,7;0,19;-;0,1;0,13;0,07;18,9;-0,17;0,13
08/1998;-0,51;43388736;86371,3;1,48;-0,07;-;-0,16;-0,17;-0,35;18,9;-0,16;0
09/1998;-0,22;43446754;84733,5;2,49;0,05;-;-0,15;-0,12;-0,17;18,5;-0,08;-0,04
10/1998;0,02;43016820;87302,8;2,94;0,06;-;0,06;0,04;-0,02;18,1;0,08;0,16
11/1998;-0,12;42679888;86316,5;2,63;0;-;0,02;0,04;-0,08;17,7;-0,32;-0,05
12/1998;0,33;48980910;83051,8;2,4;0,05;-;0;0,16;0,06;17,4;0,45;0,22
01/1999;0,7;47983348;80936,3;2,18;0,31;-;0,49;0,57;0,52;17,8;0,84;0,34
02/1999;1,05;48385599;80929,1;2,38;0,63;-;0,25;0,66;1,16;18,7;3,61;1,02
03/1999;1,1;46572290;88802,6;3,33;0,45;-;0,6;0,83;0,98;19,9;2,83;0,54
04/1999;0,56;44980179;87739;2,35;0,44;-;0,61;0,61;0,68;20,3;0,71;0,36
05/1999;0,3;44227692;89223;2,02;0,24;-;0,61;0,51;0,49;20,3;-0,29;0,27
06/1999;0,19;45366351;91746,9;1,67;0,25;-;0,25;0,4;0,08;19,9;0,36;0,26
07/1999;1,09;47822543;91230,4;1,66;0,31;-;0,21;0,63;0,51;20,1;1,55;0,48
08/1999;0,56;48033539;92283,4;1,57;0,43;-;0,26;0,43;0,46;19,6;1,56;0,38
09/1999;0,31;47542490;90611,8;1,49;0,4;-;0,18;0,23;0,32;19,7;1,45;0,22
10/1999;1,19;49046451;95872,4;1,38;0,68;-;1,05;0,9;1,38;19;1,7;0,47
11/1999;0,95;50079021;99563,1;1,39;0,46;-;0,35;0,42;0,63;18,6;2,39;0,53
12/1999;0,6;59032070;98772,5;1,6;0,58;-;0,28;0,46;0,51;17,5;1,81;0,5
01/2000;0,62;58091807;92576,6;1,46;0,48;-;0,56;0,63;0,47;17,7;1,24;0,45
02/2000;0,13;54458123;91770,4;1,45;0,44;-;0,45;0,32;0,32;17,7;0,35;0,17
03/2000;0,22;53464760;92579,9;1,45;0,37;-;0,05;0,16;0,21;18,4;0,15;0,24
04/2000;0,42;53758826;91376,2;1,3;0,45;-;0,87;0,62;0,6;18,6;0,23;0,26
05/2000;0,01;54017915;98727;1,49;0,35;-;0,2;0,19;0,18;18,7;0,31;0,39
06/2000;0,23;54693453;102685,4;1,39;0,42;-;0,3;0,31;0,28;18,6;0,85;0,16
07/2000;1,61;56624600;103410,4;1,31;0,58;-;0,26;0,82;0,84;18,6;1,57;0,74
08/2000;1,31;56966191;105177,8;1,41;0,58;-;0,34;0,43;0,72;17,7;2,39;0,27
09/2000;0,23;58116924;100307,6;1,22;0,4;-;0,23;0,26;0,24;17,3;1,16;0,13
10/2000;0,14;59871470;106951,1;1,29;0,4;-;0,23;0,22;0,18;16,3;0,38;0,21
11/2000;0,32;61053115;107678;1,22;0,3;-;0,13;0,29;0,24;16,2;0,29;0,35
12/2000;0,59;70375068;105851,6;1,2;0,36;-;0,2;0,3;0,44;16,2;0,63;0,5
01/2001;0,57;69568907;102530,7;1,27;0,41;0,35;0,37;0,52;0,47;16,3;0,62;0,44
02/2001;0,46;67466029;101635,3;1,02;0,52;0,35;0,58;0,63;0,55;17;0,23;0,36
03/2001;0,38;66737221;108303,8;1,26;0,57;0,29;0,28;0,27;0,36;17,3;0,56;0,53
04/2001;0,58;66299077;107572;1,19;0,46;0,32;0,4;0,44;0,44;17,7;1;0,64
05/2001;0,41;66166991;111202,2;1,34;0,6;0,48;0,38;0,5;0,51;17,5;0,86;0,52
06/2001;0,52;67070017;104949,4;1,27;0,73;0,54;0,27;0,74;0,79;17,5;0,98;0,56
07/2001;1,33;68671676;110758,9;1,5;0,65;0,87;0,6;1,21;1,08;17,3;1,48;0,7
08/2001;0,7;67792452;113064,7;1,6;0,56;0,6;0,52;0,72;0,7;17,7;1,38;0,59
09/2001;0,28;68405125;108700,8;1,32;0,57;0,3;0,23;0,39;0,4;17,8;0,31;0,5
10/2001;0,83;68343586;116139;1,53;0,57;0,43;0,5;0,48;0,56;18,3;1,18;0,56
11/2001;0,71;68583586;117882;1,39;0,77;0,54;0,6;0,67;0,63;17,9;1,1;0,77
12/2001;0,65;78942544;113016,7;1,39;0,78;0,57;0,77;0,77;0,72;17,8;0,22;0,71
01/2002;0,52;77396051;112374,8;1,53;0,52;0,48;0,49;0,74;0,57;17,9;0,36;0,73
02/2002;0,36;74445742;111477,1;1,25;0,54;0,44;0,83;0,73;0,52;19,1;0,06;0,44
03/2002;0,6;73380970;118444,7;1,37;0,58;0,47;0,43;0,52;0,53;19,9;0,09;0,5
04/2002;0,8;73074705;120385,9;1,48;0,56;0,49;0,51;0,5;0,52;20,4;0,56;0,46
05/2002;0,21;73651997;123552,5;1,41;0,51;0,35;0,52;0,47;0,4;19,7;0,83;0,36
06/2002;0,42;78350341;123424,4;1,33;0,4;0,2;0,16;0,37;0,38;18,8;1,54;0,41
07/2002;1,19;82024673;126856,6;1,54;0,51;0,58;0,49;1,13;0,86;18,1;1,95;0,4
08/2002;0,65;84563510;127800,1;1,44;0,65;0,57;0,4;0,73;0,7;18,3;2,32;0,65
09/2002;0,72;87010084;125137,8;1,38;0,78;0,57;0,61;0,67;0,66;18,9;2,4;0,67
10/2002;1,31;90011005;133125,4;1,65;0,78;0,87;0,74;0,95;0,97;19;3,87;0,97
11/2002;3,02;91321775;135966,6;1,54;1,32;1,7;1,17;1,57;1,95;19;5,19;1,46
12/2002;2,1;102307771;130241,2;1,74;1,36;1,48;1,66;1,65;1,75;18,5;3,75;1,39
01/2003;2,25;98718606;127177,5;1,97;1,32;1,69;1,38;1,71;1,84;18,6;2,33;1,32
02/2003;1,57;91910883;131373,6;1,83;0,93;1;0,99;1,47;1,35;19,1;2,28;0,93
03/2003;1,23;89412781;138690,5;1,78;1,23;0,97;1,13;1,22;1,2;19,7;1,53;1,07
04/2003;0,97;87484657;141388,1;1,87;1,1;0,86;0,81;1,06;0,98;20,6;0,92;1,2
05/2003;0,61;85088833;139605,8;1,97;1;0,64;0,56;0,99;0,85;20,6;-0,26;1,05
06/2003;-0,15;85397763;137993,4;1,86;0,87;0,39;0,52;0,47;0,4;20,3;-1;0,74
07/2003;0,2;86080738;145970,6;2,08;0,65;0,4;0,37;0,75;0,47;19,7;-0,42;0,53
08/2003;0,34;85746150;144819,4;1,77;0,58;0,35;0,37;0,49;0,44;20;0,38;0,45
09/2003;0,78;86147351;148559,8;1,68;0,86;0,6;0,37;0,67;0,71;20,6;1,18;0,67
10/2003;0,29;87242559;154925,9;1,64;0,77;0,29;0,37;0,34;0,38;20,4;0,38;0,5
11/2003;0,34;90084124;153644,4;1,34;0,56;0,31;0,38;0,45;0,47;19,9;0,49;0,36
12/2003;0,52;104892154;153801,4;1,37;0,72;0,54;0,63;0,6;0,58;19,1;0,61;0,46
01/2004;0,76;102742455;144558,6;1,27;0,73;0,63;0,64;0,7;0,7;19,1;0,88;0,65
02/2004;0,61;100294792;142861,3;1,08;0,48;0,28;1;0,77;0,62;19,8;0,69;0,46
03/2004;0,47;98888986;157363,5;1,38;0,76;0,65;0,85;0,8;0,71;20,6;1,13;0,53
04/2004;0,37;100188536;156953,9;1,18;0,57;0,45;0,72;0,59;0,52;20,7;1,21;0,53
05/2004;0,51;102575770;159498,9;1,23;0,59;0,43;0,7;0,55;0,53;19,7;1,31;0,57
06/2004;0,71;103957883;165342,2;1,23;0,6;0,48;0,53;0,49;0,6;19,1;1,38;0,5
07/2004;0,91;106565273;171370,9;1,29;0,55;0,59;0,46;0,85;0,73;18,5;1,31;0,36
08/2004;0,69;106280033;169178,9;1,29;0,55;0,53;0,56;0,52;0,61;18,3;1,22;0,42
09/2004;0,33;109474103;164702,5;1,25;0,56;0,38;0,41;0,53;0,48;17,9;0,69;0,38
10/2004;0,44;113211557;170536,5;1,21;0,6;0,55;0,55;0,51;0,55;17,6;0,39;0,43
11/2004;0,69;113156261;176921,5;1,25;0,62;0,57;0,57;0,56;0,6;17,4;0,82;0,41
12/2004;0,86;127129425;178462,4;1,48;0,67;0,66;0,67;0,62;0,79;17,1;0,74;0,48
01/2005;0,58;124389026;163540,1;1,38;0,66;0,59;0,56;0,62;0,65;16,7;0,39;0,61
02/2005;0,59;120657457;160701,6;1,22;0,6;0,43;0,93;0,8;0,65;17,1;0,3;0,36
03/2005;0,61;119752957;175468,7;1,53;0,62;0,49;0,41;0,7;0,76;17,3;0,85;0,49
04/2005;0,87;117665104;177179;1,41;0,7;0,7;0,71;0,92;0,79;17,5;0,86;0,65
05/2005;0,49;116328187;177496,7;1,5;0,65;0,46;0,57;0,68;0,56;17,5;-0,22;0,73
06/2005;-0,02;118158791;180881,8;1,59;0,49;0,26;0,36;0,34;0,3;17,5;-0,44;0,42
07/2005;0,25;120504056;184073,7;1,51;0,45;0,31;0,37;0,47;0,36;17,5;-0,34;0,3
08/2005;0,17;120157992;187246,6;1,66;0,36;0,28;0,26;0,37;0,32;17,1;-0,65;0,07
09/2005;0,35;119954074;181538,9;1,5;0,51;0,34;0,3;0,3;0,39;16,9;-0,53;0,29
10/2005;0,75;122159104;189183;1,41;0,58;0,5;0,38;0,47;0,6;16,9;0,6;0,37
11/2005;0,55;124480407;194794,5;1,38;0,51;0,49;0,27;0,41;0,47;16,4;0,4;0,31
12/2005;0,36;142451039;198480;1,47;0,43;0,33;0,3;0,31;0,32;15,8;-0,01;0,36
01/2006;0,59;137900471;185564,8;1,43;0,61;0,61;0,87;0,54;0,65;15,7;0,92;0,44
02/2006;0,41;131734078;178482,2;1,15;0,49;0,42;0,71;0,52;0,39;16,3;0,01;0,29
03/2006;0,43;131993421;190223,3;1,42;0,45;0,3;0,53;0,23;0,29;16,9;-0,23;0,25
04/2006;0,21;131053940;185030,6;1,08;0,41;0,19;0,22;0,3;0,24;16,9;-0,42;0,32
05/2006;0,1;131998765;197874,3;1,28;0,47;0,24;-0,03;0,3;0,26;17;0,38;0,22
06/2006;-0,21;133796671;199071,9;1,18;0,3;0,07;-0,16;0,11;0,01;16,8;0,75;0,04
07/2006;0,19;137132118;206974,4;1,17;0,29;0,2;0,14;0,16;0,22;16,7;0,18;0,11
08/2006;0,05;137927956;209818;1,26;0,23;0;0,13;0,08;0,15;16;0,37;0,13
09/2006;0,21;143497899;201055,4;1,06;0,32;0,13;0,23;0,24;0,25;15,3;0,29;0,24
10/2006;0,33;146230024;214271,7;1,09;0,32;0,19;0,29;0,26;0,31;14,6;0,47;0,17
11/2006;0,31;150128401;219724,2;1,02;0,27;0,12;0,23;0,19;0,23;14,1;0,75;0,26
12/2006;0,48;167189616;221359,3;0,99;0,38;0,27;0,35;0,57;0,55;14,2;0,32;0,31
01/2007;0,44;164116698;211130,7;1,08;0,39;0,35;0,42;0,41;0,48;14,4;0,5;0,26
02/2007;0,44;157614919;202704,1;0,87;0,24;0,22;0,52;0,48;0,36;15,3;0,27;0,16
03/2007;0,37;157126296;217588,9;1,05;0,29;0,24;0,23;0,25;0,33;15,9;0,34;0,27
04/2007;0,25;158835865;215128,8;0,94;0,29;0,28;0,29;0,28;0,33;16,3;0,04;0,32
05/2007;0,28;158563701;226537,9;1,03;0,3;0,3;0,33;0,33;0,36;15,5;0,04;0,3
06/2007;0,28;162610140;228988,6;0,91;0,34;0,23;0,22;0,25;0,36;14,9;0,26;0,34
07/2007;0,24;167678029;233824,1;0,97;0,2;0,17;0,08;0,06;0,2;15;0,28;0,26
08/2007;0,47;170697538;235019,1;0,99;0,4;0,43;0,35;0,37;0,44;15;0,98;0,37
09/2007;0,18;175789172;223002,7;0,8;0,34;0,19;0,25;0,21;0,3;15,1;1,29;0,24
10/2007;0,3;179277608;241939,4;0,93;0,43;0,35;0,4;0,28;0,37;14,4;1,05;0,24
11/2007;0,38;183724919;241938,4;0,84;0,36;0,35;0,37;0,3;0,4;14,2;0,69;0,25
12/2007;0,74;210510018;242460,2;0,84;0,4;0,45;0,59;0,39;0,57;13,5;1,76;0,25
01/2008;0,54;199488867;237247,7;0,93;0,37;0,41;0,4;0,41;0,51;13,6;1,09;0,36
02/2008;0,49;187310763;232680,4;0,8;0,27;0,36;0,69;0,6;0,46;13,6;0,53;0,15
03/2008;0,48;185502888;242124,4;0,84;0,39;0,41;0,36;0,46;0,47;14,3;0,74;0,31
04/2008;0,55;186885261;248793,8;0,9;0,48;0,41;0,53;0,57;0,55;14,2;0,69;0,38
05/2008;0,79;187611979;254936,9;0,88;0,5;0,55;0,68;0,64;0,7;14,1;1,61;0,44
06/2008;0,74;186296932;265791,2;0,96;0,49;0,48;0,55;0,5;0,64;13,9;1,98;0,44
07/2008;0,53;189954538;278095,6;1,07;0,36;0,43;0,39;0,44;0,54;14,1;1,76;0,3
08/2008;0,28;187957685;269235,6;1,02;0,36;0,42;0,5;0,46;0,48;14;-0,32;0,3
09/2008;0,26;193432280;265271,2;1,1;0,45;0,41;0,62;0,42;0,51;13,5;0,11;0,22
10/2008;0,45;195907980;280522,5;1,18;0,37;0,32;0,51;0,42;0,45;12,5;0,98;0,31
11/2008;0,36;195354073;270698,8;1,02;0,35;0,28;0,36;0,31;0,31;12,3;0,38;0,45
12/2008;0,28;218282061;264404,8;1,12;0,33;0,33;0,33;0,34;0,3;11,8;-0,13;0,34
01/2009;0,48;209027734;249934,4;1,05;0,42;0,44;0,27;0,45;0,4;12,5;-0,44;0,35
02/2009;0,55;198852020;244024,5;0,86;0,29;0,27;0,88;0,7;0,5;13,5;0,26;0,33
03/2009;0,2;194334825;262181,7;0,97;0,35;0,21;0,25;0,23;0,28;14,9;-0,74;0,39
04/2009;0,48;195994468;259563,5;0,84;0,35;0,27;0,58;0,56;0,49;15;-0,15;0,36
05/2009;0,47;197687921;268324;0,77;0,44;0,39;0,56;0,54;0,48;14,8;-0,07;0,37
06/2009;0,36;200348621;275701,2;0,76;0,39;0,28;0,32;0,27;0,37;14,2;-0,1;0,23
07/2009;0,24;203488530;285444,2;0,79;0,3;0,21;0,23;0,29;0,29;14,8;-0,43;0,29
08/2009;0,15;202436508;284240,4;0,69;0,25;0,18;0,29;0,21;0,23;14,2;-0,36;0,19
09/2009;0,24;208138398;283157,9;0,69;0,39;0,31;0,35;0,31;0,39;14,1;0,42;0,28
10/2009;0,28;211267710;301895,9;0,69;0,31;0,28;0,33;0,24;0,33;13,2;0,05;0,27
11/2009;0,41;215059376;305048,8;0,66;0,37;0,36;0,42;0,37;0,4;12,8;0,1;0,25
12/2009;0,37;240417177;313522,8;0,73;0,41;0,34;0,44;0,46;0,47;11,9;-0,26;0,33
01/2010;0,75;235648675;288972,8;0,66;0,48;0,52;0,58;0,59;0,6;11,8;0,63;0,47
02/2010;0,78;229808301;285723,2;0,59;0,39;0,45;0,86;0,68;0,47;12,2;1,18;0,41
03/2010;0,52;227433713;311651,6;0,76;0,46;0,35;0,46;0,42;0,4;13,1;0,94;0,42
04/2010;0,57;229211751;307083,5;0,67;0,5;0,34;0,43;0,42;0,42;13,3;0,77;0,47
05/2010;0,43;231478451;315988,4;0,75;0,62;0,53;0,62;0,56;0,57;13,3;1,19;0,47
06/2010;0;234275442;321023,2;0,79;0,4;0,26;0,4;0,36;0,29;12,9;0,85;0,37
07/2010;0,01;238572957;332454,2;0,86;0,25;0,16;0,2;0,24;0,2;12,6;0,15;0,28
08/2010;0,04;240415734;334225,6;0,89;0,33;0,2;0,24;0,12;0,19;12,3;0,77;0,26
09/2010;0,45;247153612;331255,9;0,85;0,43;0,33;0,34;0,37;0,39;11,5;1,15;0,52
10/2010;0,75;251908981;344963,8;0,81;0,55;0,54;0,55;0,44;0,58;10,9;1,01;0,41
11/2010;0,83;253268257;356707,5;0,81;0,56;0,59;0,57;0,52;0,66;10,7;1,45;0,43
12/2010;0,63;279631792;355797,4;0,93;0,52;0,51;0,71;0,6;0,71;10,1;0,69;0,55
01/2011;0,83;268234158;333255,6;0,86;0,54;0,63;0,66;0,76;0,8;10,5;0,79;0,41
02/2011;0,8;257217495;334982;0,84;0,4;0,51;1,23;0,96;0,7;10,6;1;0,32
03/2011;0,79;252665706;347879,6;0,92;0,49;0,6;0,69;0,7;0,7;11,3;0,62;0,43
04/2011;0,77;251340127;349049,3;0,84;0,6;0,49;0,58;0,52;0,68;11,2;0,45;0,55
05/2011;0,47;249822899;366256,2;0,99;0,64;0,45;0,43;0,54;0,59;10,7;0,43;0,48
06/2011;0,15;251283051;370951,2;0,96;0,54;0,44;0,5;0,56;0,42;11;-0,18;0,4
07/2011;0,16;253452103;373143,3;0,97;0,41;0,28;0,4;0,33;0,38;11,1;-0,12;0,29
08/2011;0,37;250472863;376769,3;1,07;0,55;0,33;0,45;0,32;0,39;11,2;0,44;0,46
09/2011;0,53;253371295;361724,6;0,94;0,58;0,55;0,44;0,45;0,51;10,6;0,65;0,53
10/2011;0,43;255713766;378491;0,88;0,59;0,44;0,43;0,47;0,5;9,9;0,53;0,43
11/2011;0,52;255234291;389560,8;0,86;0,55;0,42;0,45;0,47;0,53;9,5;0,5;0,46
12/2011;0,5;280491345;391595,1;0,91;0,58;0,39;0,49;0,41;0,54;9;-0,12;0,62
01/2012;0,56;269348018;367215,4;0,89;0,47;0,36;0,57;0,59;0,59;9,6;0,25;0,37
02/2012;0,45;261349865;367177,3;0,75;0,41;0,28;0,54;0,6;0,47;10,4;-0,06;0,34
03/2012;0,21;257323622;392996,5;0,82;0,28;0,27;0,22;0,21;0,26;11,1;0,43;0,48
04/2012;0,64;258151408;381795,3;0,71;0,51;0,5;0,71;0,69;0,61;11,2;0,85;0,43
05/2012;0,36;258893559;400281,3;0,74;0,45;0,31;0,26;0,36;0,34;10,9;1,02;0,4
06/2012;0,08;262711091;398714,5;0,64;0,39;0,3;-0,09;0,05;0,07;11,2;0,66;0,32
07/2012;0,43;268554899;414617,4;0,68;0,4;0,35;0,43;0,46;0,53;11,1;1,34;0,25
08/2012;0,41;266027221;419906,3;0,69;0,5;0,42;0,4;0,4;0,45;11,6;1,43;0,35
09/2012;0,57;274538837;393524,7;0,54;0,49;0,49;0,39;0,47;0,51;11,3;0,97;0,39
10/2012;0,59;275755561;422672,1;0,61;0,54;0,46;0,48;0,51;0,55;10,9;0,02;0,45
11/2012;0,6;278129681;423816,4;0,55;0,49;0,61;0,64;0,63;0,62;10,3;-0,03;0,46
12/2012;0,79;313081320;423195,9;0,55;0,56;0,64;0,88;0,76;0,67;10;0,68;0,47
01/2013;0,86;300493436;414131,8;0,6;0,73;0,77;0,87;0,63;0,65;10;0,34;0,58
02/2013;0,6;290517868;398645,4;0,49;0,53;0,61;1;0,28;0,55;10,3;0,29;0,47
03/2013;0,47;290006185;427409,8;0,55;0,47;0,48;0,31;0,35;0,46;10,9;0,21;0,52
04/2013;0,55;290208607;438856,8;0,61;0,53;0,45;0,45;0,52;0,53;11,4;0,15;0,45
05/2013;0,37;290617082;439054,2;0,6;0,52;0,41;0,48;0,49;0,5;11,4;0;0,41
06/2013;0,26;296194075;442857;0,61;0,36;0,31;0,38;0,46;0,43;11,3;0,75;0,39
07/2013;0,03;300919748;458458,9;0,72;0,29;0,21;0,35;0,2;0,34;11;0,26;0,24
08/2013;0,24;297719073;452862,2;0,71;0,42;0,34;0,45;0,41;0,42;10,4;0,15;0,26
09/2013;0,35;303449756;438766,7;0,71;0,43;0,4;0,52;0,48;0,46;10;1,5;0,45
10/2013;0,57;302565723;466166;0,81;0,58;0,52;0,6;0,51;0,61;9,6;0,86;0,41
11/2013;0,54;306448306;465693,8;0,72;0,45;0,55;0,6;0,57;0,52;9,4;0,29;0,41
12/2013;0,92;338981671;473552,5;0,79;0,58;0,72;0,96;0,74;0,79;9,3;0,6;0,36
01/2014;0,55;323212140;455935;0,85;0,55;0,54;0,52;0,5;0,55;9,6;0,48;0,63
02/2014;0,69;311859892;450358,8;0,79;0,51;0,57;0,92;0,79;0,69;10,6;0,38;0,52
03/2014;0,92;310364027;462159,8;0,77;0,59;0,7;0,88;0,58;0,59;11,5;1,67;0,55
04/2014;0,67;312333805;468767,5;0,82;0,56;0,5;0,41;0,52;0,56;11,6;0,78;0,62
05/2014;0,46;306151785;473347,1;0,87;0,64;0,58;0,42;0,54;0,5;11,4;-0,13;0,49
